iter	Passed	Remaining
881	5269	705
882	5276	699
883	5281	693
884	5287	687
885	5293	681
886	5299	675
887	5304	669
888	5310	663
889	5316	657
890	5322	651
891	5327	645
892	5333	639
893	5339	633
894	5345	627
895	5350	621
896	5356	615
897	5362	609
898	5367	603
899	5373	597
900	5379	591
901	5385	585
902	5391	579
903	5396	573
904	5402	567
905	5408	561
906	5414	555
907	5420	549
908	5425	543
909	5431	537
910	5437	531
911	5442	525
912	5448	519
913	5454	513
914	5461	507
915	5466	501
916	5472	495
917	5478	489
918	5484	483
919	5490	477
920	5496	471
921	5502	465
922	5508	459
923	5513	453
924	5519	447
925	5525	441
926	5530	435
927	5536	429
928	5541	423
929	5547	417
930	5553	411
931	5558	405
932	5564	399
933	5570	393
934	5576	387
935	5582	381
936	5587	375
937	5593	369
938	5599	363
939	5604	357
940	5610	351
941	5616	345
942	5621	339
943	5627	333
944	5633	327
945	5639	321
946	5646	316
947	5652	310
948	5658	304
949	5664	298
950	5670	292
951	5676	286
952	5681	280
953	5687	274
954	5693	268
955	5699	262
956	5705	256
957	5711	250
958	5718	244
959	5724	238
960	5729	232
961	5735	226
962	5741	220
963	5747	214
964	5752	208
965	5758	202
966	5764	196
967	5770	190
968	5775	184
969	5781	178
970	5787	172
971	5793	166
972	5798	160
973	5804	154
974	5809	148
975	5815	143
976	5821	137
977	5827	131
978	5833	125
979	5839	119
980	5845	113
981	5851	107
982	5857	101
983	5863	95
984	5869	89
985	5876	83
986	5882	77
987	5889	71
988	5895	65
989	5901	59
990	5907	53
991	5913	47
992	5919	41
993	5925	35
994	5932	29
995	5941	23
996	5948	17
997	5955	11
998	5961	5
999	5968	0
